Filename; Timestamp from FTS; Matching Timestamp from TXT; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]
BronchoscopyVideo_1_20250325T093638_openCV_0.mhd; 1742891798536; 1742891798588; 0; 23; 129; 1; 1; 9.9
BronchoscopyVideo_1_20250325T093638_openCV_1.mhd; 1742891798636; 1742891798638; 0; 21; 129; 1; 1; 9.6
BronchoscopyVideo_1_20250325T093638_openCV_2.mhd; 1742891798736; 1742891798738; 0; 23; 129; 1; 1; 9.6
BronchoscopyVideo_1_20250325T093638_openCV_3.mhd; 1742891798836; 1742891798838; 0; 22; 129; 1; 1; 9.6
BronchoscopyVideo_1_20250325T093638_openCV_4.mhd; 1742891798936; 1742891798938; 0; 22; 129; 1; 1; 9.5
BronchoscopyVideo_1_20250325T093638_openCV_5.mhd; 1742891799036; 1742891799038; 0; 22; 129; 1; 1; 9.3
BronchoscopyVideo_1_20250325T093638_openCV_6.mhd; 1742891799136; 1742891799137; 0; 21; 129; 1; 1; 9.4
BronchoscopyVideo_1_20250325T093638_openCV_7.mhd; 1742891799236; 1742891799238; 0; 22; 129; 1; 1; 9.4
BronchoscopyVideo_1_20250325T093638_openCV_8.mhd; 1742891799336; 1742891799337; 0; 21; 129; 1; 1; 9
BronchoscopyVideo_1_20250325T093638_openCV_9.mhd; 1742891799436; 1742891799437; 0; 21; 129; 1; 1; 8.9
BronchoscopyVideo_1_20250325T093638_openCV_10.mhd; 1742891799536; 1742891799537; 0; 22; 129; 1; 1; 8.9
BronchoscopyVideo_1_20250325T093638_openCV_11.mhd; 1742891799636; 1742891799637; 0; 22; 129; 1; 1; 9.2
BronchoscopyVideo_1_20250325T093638_openCV_12.mhd; 1742891799736; 1742891799737; 0; 22; 129; 1; 1; 9.3
BronchoscopyVideo_1_20250325T093638_openCV_13.mhd; 1742891799836; 1742891799837; 0; 22; 129; 1; 1; 9.1
BronchoscopyVideo_1_20250325T093638_openCV_14.mhd; 1742891799936; 1742891799937; 0; 24; 129; 1; 1; 8.5
BronchoscopyVideo_1_20250325T093638_openCV_15.mhd; 1742891800036; 1742891800037; 0; 26; 129; 1; 1; 6.8
BronchoscopyVideo_1_20250325T093638_openCV_16.mhd; 1742891800136; 1742891800137; 0; 27; 129; 1; 1; 5.8
