{Timestamp; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]}
1742891798614;0;22;129;1;1;9.7
1742891798714;0;22;129;1;1;9.6
1742891798814;0;22;129;1;1;9.6
1742891798913;0;22;129;1;1;9.5
1742891799012;0;22;129;1;1;9.4
1742891799113;0;22;129;1;1;9.4
1742891799213;0;21;129;1;1;9.4
1742891799312;0;21;129;1;1;9.1
1742891799412;0;21;129;1;1;8.8
1742891799512;0;22;129;1;1;8.9
1742891799612;0;22;129;1;1;9.1
1742891799712;0;23;129;1;1;9.2
1742891799812;0;22;129;1;1;9.2
1742891799912;0;24;129;1;1;8.2
1742891800012;0;26;129;1;1;6
1742891800112;0;27;129;1;1;6.3
1742891800212;0;27;129;1;1;5.4
1742891800312;0;28;129;1;1;5.4
1742891800412;0;30;129;1;1;5.2
1742891800536;0;29;129;1;1;5.5
1742891800612;0;30;129;1;1;5.9
1742891800712;0;31;129;1;1;6.6
1742891800811;0;30;129;1;1;7.3
1742891800936;0;30;129;1;1;6.9
1742891801036;0;30;129;1;1;6.1
1742891801136;0;34;129;1;1;5.9
1742891801236;0;35;129;1;1;6.1
1742891801336;0;35;129;1;1;5.8
1742891801436;0;36;129;1;1;5.5
1742891801536;0;38;129;1;1;5.8
1742891801636;0;37;129;1;1;5.7
1742891801736;0;37;129;1;1;5.8
1742891801836;0;37;129;1;1;5.8
1742891801936;0;37;129;1;1;5.9
1742891802011;0;37;129;1;1;5.7
1742891802110;0;37;129;1;1;5.5
1742891802210;0;38;129;1;1;5.4
1742891802336;0;39;129;1;1;5.2
1742891802410;0;40;129;1;1;5
1742891802510;0;40;129;1;1;5.1
1742891802611;0;40;129;1;1;5.4
1742891802710;0;40;129;1;1;5.3
1742891802809;0;40;129;1;1;4.9
1742891802910;0;41;129;1;1;4.7
1742891803009;0;42;129;1;1;4.1
1742891803109;0;41;129;1;1;4
1742891803209;0;42;129;1;1;4.8
1742891803309;0;43;129;1;1;5.3
1742891803409;0;44;129;1;1;5.5
1742891803509;0;49;129;1;1;6.2
1742891803609;0;57;129;1;1;7.9
1742891803709;0;62;129;1;1;7.9
1742891803809;0;67;129;1;1;8.5
1742891803909;0;69;129;1;1;8
1742891804009;0;68;129;1;1;8.1
1742891804109;0;70;129;1;1;8.3
1742891804209;0;74;129;1;1;8.6
1742891804309;0;78;129;1;1;8.1
1742891804409;0;82;129;1;1;8.7
1742891804509;0;85;129;1;1;9.5
1742891804609;0;86;129;1;1;10
1742891804709;0;89;129;1;1;9
1742891804809;0;91;129;1;1;7.5
1742891804909;0;97;129;1;1;5.1
1742891805009;0;98;129;1;1;4.1
1742891805108;0;99;129;1;1;5.2
1742891805208;0;101;129;1;1;4.9
1742891805308;0;101;129;1;1;4.8
1742891805407;0;101;129;1;1;4.7
1742891805507;0;103;129;1;1;7.1
1742891805607;0;108;129;1;1;6.2
1742891805707;0;109;129;1;1;6.9
1742891805807;0;110;129;1;1;7.3
1742891805907;0;115;129;1;1;7.3
1742891806007;0;117;129;1;1;7.4
1742891806107;0;117;129;1;1;7.4
1742891806207;0;117;129;1;1;7.1
1742891806307;0;121;129;1;1;6.4
1742891806407;0;123;129;1;1;6.9
1742891806507;3;5;36;2;1,2;8.8
1742891806607;3;9;36;2;1,2;7.1
1742891806707;3;11;36;2;1,2;5.7
1742891806807;3;12;36;2;1,2;6.8
1742891806907;3;13;36;2;1,2;6.7
1742891807007;3;13;36;2;1,2;6.7
1742891807107;3;19;36;2;1,2;6.4
1742891807206;3;25;36;2;1,2;5.9
1742891807307;3;28;36;2;1,2;5.7
1742891807407;3;29;36;2;1,2;5.9
1742891807507;3;29;36;2;1,2;3.7
1742891807606;3;30;36;2;1,2;1.9
1742891807706;3;28;36;2;1,2;1.6
1742891807806;3;29;36;2;1,2;4
1742891807930;3;29;36;2;1,2;6.3
1742891808030;3;30;36;2;1,2;7.2
1742891808130;15;6;27;3;1,2,1;7.5
1742891808230;15;8;27;3;1,2,1;8.8
1742891808330;15;9;27;3;1,2,1;10
1742891808430;15;9;27;3;1,2,1;8.4
1742891808530;15;9;27;3;1,2,1;8.2
1742891808630;15;10;27;3;1,2,1;9
1742891808730;15;9;27;3;1,2,1;8.8
1742891808830;15;10;27;3;1,2,1;8.9
1742891808930;15;9;27;3;1,2,1;8.1
1742891809030;15;8;27;3;1,2,1;7.5
1742891809130;15;9;27;3;1,2,1;8.3
1742891809230;15;10;27;3;1,2,1;11.9
1742891809330;15;12;27;3;1,2,1;12.7
1742891809430;15;13;27;3;1,2,1;13.3
1742891809530;15;13;27;3;1,2,1;12
1742891809630;15;13;27;3;1,2,1;6.9
1742891809730;15;13;27;3;1,2,1;6.2
1742891809829;15;15;27;3;1,2,1;6.7
1742891809929;15;16;27;3;1,2,1;7.8
1742891810029;15;16;27;3;1,2,1;9.3
1742891810129;15;17;27;3;1,2,1;9.4
1742891810229;15;19;27;3;1,2,1;8.9
1742891810329;15;21;27;3;1,2,1;8.9
1742891810429;15;20;27;3;1,2,1;8
1742891810529;15;20;27;3;1,2,1;7.2
1742891810629;15;20;27;3;1,2,1;6.2
1742891810728;15;22;27;3;1,2,1;6.8
1742891810828;39;8;14;4;1,2,1,1;7.3
1742891810928;39;9;14;4;1,2,1,1;6.9
1742891811028;39;9;14;4;1,2,1,1;5.8
1742891811128;39;9;14;4;1,2,1,1;3.4
1742891811228;39;8;14;4;1,2,1,1;1.8
1742891811328;39;7;14;4;1,2,1,1;1.1
1742891811428;39;6;14;4;1,2,1,1;1.5
1742891811528;39;7;14;4;1,2,1,1;2.2
1742891811628;39;8;14;4;1,2,1,1;2.6
1742891811728;39;10;14;4;1,2,1,1;4.8
1742891811828;70;7;19;5;1,2,1,2,1;6.3
1742891811927;70;8;19;5;1,2,1,2,1;5.3
1742891812027;70;9;19;5;1,2,1,2,1;5.5
1742891812127;70;10;19;5;1,2,1,2,1;5.8
1742891812227;70;10;19;5;1,2,1,2,1;5.5
1742891812327;70;10;19;5;1,2,1,2,1;6.3
1742891812427;69;9;28;5;1,2,1,2,2;6.3
1742891812527;69;9;28;5;1,2,1,2,2;6.2
1742891812627;69;9;28;5;1,2,1,2,2;5.5
1742891812727;69;10;28;5;1,2,1,2,2;4.8
1742891812827;69;9;28;5;1,2,1,2,2;4.2
1742891812927;69;8;28;5;1,2,1,2,2;2.8
1742891813027;69;8;28;5;1,2,1,2,2;2.6
1742891813127;70;7;19;5;1,2,1,2,1;2.5
1742891813227;70;4;19;5;1,2,1,2,1;4.5
1742891813327;38;8;10;4;1,2,1,2;4.1
1742891813427;39;8;14;4;1,2,1,1;2.7
1742891813526;39;9;14;4;1,2,1,1;1.2
1742891813626;39;9;14;4;1,2,1,1;1.3
1742891813726;39;9;14;4;1,2,1,1;2.5
1742891813827;38;7;10;4;1,2,1,2;4.8
1742891813925;70;4;19;5;1,2,1,2,1;5.1
1742891814026;70;4;19;5;1,2,1,2,1;5.3
1742891814125;70;5;19;5;1,2,1,2,1;4.9
1742891814225;70;4;19;5;1,2,1,2,1;5.3
1742891814325;70;10;19;5;1,2,1,2,1;4.4
1742891814426;70;12;19;5;1,2,1,2,1;4
1742891814525;70;14;19;5;1,2,1,2,1;4.6
1742891814625;70;15;19;5;1,2,1,2,1;5
1742891814725;70;17;19;5;1,2,1,2,1;4.8
1742891814825;68;2;23;6;1,2,1,2,1,1;3.8
1742891814925;68;4;23;6;1,2,1,2,1,1;2.4
1742891815025;68;5;23;6;1,2,1,2,1,1;1.9
1742891815125;68;8;23;6;1,2,1,2,1,1;0.5
1742891815225;68;9;23;6;1,2,1,2,1,1;0.3
1742891815325;68;9;23;6;1,2,1,2,1,1;0.5
1742891815425;68;8;23;6;1,2,1,2,1,1;1.7
1742891815525;68;3;23;6;1,2,1,2,1,1;4.1
1742891815625;70;11;19;5;1,2,1,2,1;5.3
1742891815725;70;7;19;5;1,2,1,2,1;5.3
1742891815825;39;9;14;4;1,2,1,1;4.1
1742891815925;39;8;14;4;1,2,1,1;2.5
1742891816024;39;8;14;4;1,2,1,1;2.4
1742891816124;39;8;14;4;1,2,1,1;3.5
1742891816224;39;10;14;4;1,2,1,1;4.6
1742891816324;39;10;14;4;1,2,1,1;5.5
1742891816424;39;10;14;4;1,2,1,1;5.9
1742891816524;39;11;14;4;1,2,1,1;5.9
1742891816624;36;5;15;5;1,2,1,1,2;4.3
1742891816724;36;7;15;5;1,2,1,1,2;3.4
1742891816823;36;8;15;5;1,2,1,1,2;2.4
1742891816923;36;9;15;5;1,2,1,1,2;3.6
1742891817023;36;9;15;5;1,2,1,1,2;4.1
1742891817123;36;10;15;5;1,2,1,1,2;4.4
1742891817223;36;10;15;5;1,2,1,1,2;4.8
1742891817323;36;11;15;5;1,2,1,1,2;6.4
1742891817423;63;3;21;6;1,2,1,1,2,2;8.7
1742891817523;63;4;21;6;1,2,1,1,2,2;8.8
1742891817623;63;6;21;6;1,2,1,1,2,2;8.8
1742891817723;63;8;21;6;1,2,1,1,2,2;8.3
1742891817823;63;9;21;6;1,2,1,1,2,2;7.4
1742891817923;63;9;21;6;1,2,1,1,2,2;6.8
1742891818023;63;9;21;6;1,2,1,1,2,2;6.1
1742891818122;63;9;21;6;1,2,1,1,2,2;5
1742891818223;63;10;21;6;1,2,1,1,2,2;5
1742891818323;63;12;21;6;1,2,1,1,2,2;5
1742891818423;63;12;21;6;1,2,1,1,2,2;3.6
1742891818523;63;12;21;6;1,2,1,1,2,2;3.4
1742891818622;63;12;21;6;1,2,1,1,2,2;3.9
