Timestamp; MHD File
1742891798536; BronchoscopyVideo_1_20250325T093638_openCV_0.mhd
1742891798636; BronchoscopyVideo_1_20250325T093638_openCV_1.mhd
1742891798736; BronchoscopyVideo_1_20250325T093638_openCV_2.mhd
1742891798836; BronchoscopyVideo_1_20250325T093638_openCV_3.mhd
1742891798936; BronchoscopyVideo_1_20250325T093638_openCV_4.mhd
1742891799036; BronchoscopyVideo_1_20250325T093638_openCV_5.mhd
1742891799136; BronchoscopyVideo_1_20250325T093638_openCV_6.mhd
1742891799236; BronchoscopyVideo_1_20250325T093638_openCV_7.mhd
1742891799336; BronchoscopyVideo_1_20250325T093638_openCV_8.mhd
1742891799436; BronchoscopyVideo_1_20250325T093638_openCV_9.mhd
1742891799536; BronchoscopyVideo_1_20250325T093638_openCV_10.mhd
1742891799636; BronchoscopyVideo_1_20250325T093638_openCV_11.mhd
1742891799736; BronchoscopyVideo_1_20250325T093638_openCV_12.mhd
1742891799836; BronchoscopyVideo_1_20250325T093638_openCV_13.mhd
1742891799936; BronchoscopyVideo_1_20250325T093638_openCV_14.mhd
1742891800036; BronchoscopyVideo_1_20250325T093638_openCV_15.mhd
1742891800136; BronchoscopyVideo_1_20250325T093638_openCV_16.mhd
1742891800236; BronchoscopyVideo_1_20250325T093638_openCV_17.mhd
1742891800336; BronchoscopyVideo_1_20250325T093638_openCV_18.mhd
1742891800436; BronchoscopyVideo_1_20250325T093638_openCV_19.mhd
1742891800536; BronchoscopyVideo_1_20250325T093638_openCV_20.mhd
1742891800636; BronchoscopyVideo_1_20250325T093638_openCV_21.mhd
1742891800736; BronchoscopyVideo_1_20250325T093638_openCV_22.mhd
1742891800836; BronchoscopyVideo_1_20250325T093638_openCV_23.mhd
1742891800936; BronchoscopyVideo_1_20250325T093638_openCV_24.mhd
1742891801036; BronchoscopyVideo_1_20250325T093638_openCV_25.mhd
1742891801136; BronchoscopyVideo_1_20250325T093638_openCV_26.mhd
1742891801236; BronchoscopyVideo_1_20250325T093638_openCV_27.mhd
1742891801336; BronchoscopyVideo_1_20250325T093638_openCV_28.mhd
1742891801436; BronchoscopyVideo_1_20250325T093638_openCV_29.mhd
1742891801536; BronchoscopyVideo_1_20250325T093638_openCV_30.mhd
1742891801636; BronchoscopyVideo_1_20250325T093638_openCV_31.mhd
1742891801736; BronchoscopyVideo_1_20250325T093638_openCV_32.mhd
1742891801836; BronchoscopyVideo_1_20250325T093638_openCV_33.mhd
1742891801936; BronchoscopyVideo_1_20250325T093638_openCV_34.mhd
1742891802036; BronchoscopyVideo_1_20250325T093638_openCV_35.mhd
1742891802136; BronchoscopyVideo_1_20250325T093638_openCV_36.mhd
1742891802236; BronchoscopyVideo_1_20250325T093638_openCV_37.mhd
1742891802336; BronchoscopyVideo_1_20250325T093638_openCV_38.mhd
1742891802436; BronchoscopyVideo_1_20250325T093638_openCV_39.mhd
1742891802536; BronchoscopyVideo_1_20250325T093638_openCV_40.mhd
1742891802636; BronchoscopyVideo_1_20250325T093638_openCV_41.mhd
1742891802736; BronchoscopyVideo_1_20250325T093638_openCV_42.mhd
1742891802836; BronchoscopyVideo_1_20250325T093638_openCV_43.mhd
1742891802936; BronchoscopyVideo_1_20250325T093638_openCV_44.mhd
1742891803036; BronchoscopyVideo_1_20250325T093638_openCV_45.mhd
1742891803136; BronchoscopyVideo_1_20250325T093638_openCV_46.mhd
1742891803236; BronchoscopyVideo_1_20250325T093638_openCV_47.mhd
1742891803336; BronchoscopyVideo_1_20250325T093638_openCV_48.mhd
1742891803436; BronchoscopyVideo_1_20250325T093638_openCV_49.mhd
